RandomNum,RandomNum(Values of Sort),standras_t,X,Y,NT_FL18,NT_FL19,NT_FL20,NT_FL21,NT_FL22,NT_FL23,NT_FL24,NT_FL25,NT_FL26,NT_FL27,NT_FL28,NT_FL29,NT_FL30,NT_FL31,NT_FL32,NT_FL33,NT_FL34,NT_FL35,NT_FL36,NT_FL37,NT_FL38,NT_FL39,NT_FL40,NT_FL41,NT_FL42,NT_FL43,NT_FL44,NT_FL45,NT_FL46,NT_FL47,NT_FL48,NT_FL49,NT_FL50,SDI260_FL19,SDI260_FL20,SDI260_FL21,SDI260_FL22,SDI260_FL23,SDI260_FL24,SDI260_FL25,SDI260_FL26,SDI260_FL27,SDI260_FL29,SDI260_FL30,SDI260_FL31,SDI260_FL32,SDI260_FL33,SDI260_FL34,SDI260_FL35,SDI260_FL36,SDI260_FL37,SDI260_FL39,SDI260_FL40,SDI260_FL41,SDI260_FL42,SDI260_FL43,SDI260_FL44,SDI260_FL45,SDI260_FL46,SDI260_FL47,SDI260_FL49,SDI260_FL50,SDI300_FL19,SDI300_FL20,SDI300_FL21,SDI300_FL22,SDI300_FL23,SDI300_FL24,SDI300_FL25,SDI300_FL26,SDI300_FL27,SDI300_FL29,SDI300_FL30,SDI300_FL31,SDI300_FL32,SDI300_FL33,SDI300_FL34,SDI300_FL35,SDI300_FL36,SDI300_FL37,SDI300_FL39,SDI300_FL40,SDI300_FL41,SDI300_FL42,SDI300_FL43,SDI300_FL44,SDI300_FL45,SDI300_FL46,SDI300_FL47,SDI300_FL49,SDI300_FL50,Average_nt,Average_260,Average_300
0.430587273,3.11416E-06,15,75189.52722220000,-103941.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,5.00000000000,5.00000000000,5.00000000000,5.00000000000,5.00000000000,5.13333415985,5.00000000000,5.00000000000,3.00000000000,3.00000000000,2.85714197159,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.48455988277,3.00000000000,3.00000000000
0.758590413,4.57295E-06,54,70749.52722220000,-95301.00000000000,3.00000000000,3.00000000000,3.66666579247,3.42424201965,3.50000000000,3.34782600403,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,1.00000000000,1.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.85714197159,3.00000000000,3.00000000000,3.00000000000,1.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.94594597816,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.85714197159,3.00000000000,3.00000000000,1.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.87260229660,2.85527889482,2.86206896552
0.363229244,6.20008E-05,2,75069.52722220000,-98121.00000000000,3.75000000000,5.84210586548,6.00000000000,5.42857503891,3.85714197159,5.47058820724,5.80000019073,5.53333425522,6.08332633972,2.50000000000,3.00000000000,3.00000000000,3.66666579247,3.16666603088,3.83333420753,3.88888788223,3.46153807640,4.27272796631,3.80000019073,4.38461589813,4.45454597473,3.00000000000,3.25000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.71428608894,3.83333420753,5.99999904633,3.00000000000,3.59999990463,3.00000000000,3.66666579247,3.15384578705,3.00000000000,3.00000000000,3.00000000000,3.85714197159,3.40000009537,3.00000000000,3.50000000000,3.40000009537,3.50000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.19999980927,3.00000000000,3.40000009537,3.66666579247,4.14285802841,5.85714197159,3.00000000000,3.50000000000,3.13333392143,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.88888788223,3.25000000000,3.44444394112,3.57142806053,3.00000000000,3.00000000000,3.00000000000,3.22222208977,3.00000000000,3.00000000000,3.19999980927,1.00000000000,3.86194102692,3.29742320653,3.22334418626
0.174273523,0.000124397,152,76689.52722220000,-109071.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.25000000000,3.12500000000,3.00000000000,3.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,3.88888788223,4.09090995789,5.00000000000,5.00000000000,5.00000000000,5.00000000000,5.00000000000,5.00000000000,5.00000000000,5.00000000000,5.00000000000,5.22222232819,4.33333396912,4.50000000000,5.15384626389,3.00000000000,3.16666603088,7.21428728104,7.00000000000,6.77777814865,3.00000000000,3.12500000000,1.00000000000,3.00000000000,3.13333392143,3.00000000000,3.00000000000,3.28571391106,3.28571391106,3.15384578705,3.18181800842,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.16666603088,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.28571391106,1.00000000000,3.00000000000,3.00000000000,3.15384578705,3.00000000000,3.00000000000,3.22222208977,3.00000000000,3.28571391106,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.14285802841,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.90069490491,2.97696867482,2.96863288715
0.212510118,0.000129154,57,64989.52722220000,-102291.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.71428394318,5.00000000000,6.29411840439,6.50000000000,6.07692384720,6.79999971390,6.28571414948,3.00000000000,3.00000000000,3.00000000000,3.66666579247,3.18181800842,3.00000000000,3.15384578705,3.15384578705,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.77777814865,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.75000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.66143077070,3.06130269478,3.06034482759
0.036099631,0.000146475,138,73659.52722220000,-114441.00000000000,3.00000000000,3.00000000000,3.00000000000,5.00000000000,5.50000000000,5.66666603088,5.16666603088,5.44444417953,3.16666603088,3.94736814499,3.61538410187,3.50000000000,3.15384578705,3.82353019714,3.46153807640,4.00000000000,3.19999980927,3.72727179527,4.78947401047,4.55555629730,4.87500000000,4.85185194016,4.87500000000,4.77777814865,5.00000000000,3.00000000000,3.06896591187,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.14285802841,3.00000000000,4.64705801010,4.70833396912,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.54545402527,3.00000000000,3.00000000000,1.30769193172,1.66666591167,2.00000000000,1.88888800144,1.66666591167,1.28571403027,1.47058796883,1.39999997616,4.52631616592,4.45454597473,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.33333396912,3.00000000000,3.00000000000,1.16666603088,1.57142806053,1.00000000000,1.37500000000,1.39999997616,1.13333392143,1.22222197056,1.53333401680,3.91848074306,2.67541585297,2.57642000297
0.435725739,0.000196708,51,69099.52722220000,-99081.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.28571391106,3.00000000000,3.00000000000,3.22222208977,3.00000000000,3.00000000000,3.19999980927,3.00000000000,3.00000000000,3.66666579247,3.00000000000,3.40000009537,3.66666579247,3.80000019073,3.22222208977,4.50000000000,3.40000009537,4.20000028610,3.50000000000,3.40000009537,4.00000000000,3.72727179527,3.50000000000,3.66666579247,3.33333396912,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.91666603088,5.00000000000,5.08695793152,4.88235187531,5.00000000000,4.63636398315,5.09523820877,3.00000000000,3.00000000000,3.33333396912,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.33333396912,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.40000009537,2.60000014305,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,5.00000000000,4.57894802094,4.59999990463,4.76471090317,4.90000009537,4.91304397583,5.09523820877,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.28571391106,3.00000000000,3.00000000000,3.33333396912,3.66666579247,3.00000000000,3.00000000000,4.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.32396247893,3.52704297263,3.52198809591
0.623019413,0.000222105,28,68769.52722220000,-96681.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.05882406235,4.33333396912,3.00000000000,3.00000000000,3.00000000000,3.76922988892,3.84210586548,3.47058796883,3.08695602417,3.11111211777,5.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.87500000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.81818199158,4.37500000000,3.00000000000,3.00000000000,2.81818199158,3.61538410187,3.88888788223,3.59999990463,3.00000000000,3.00000000000,5.09090995789,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.22576378954,3.24850158034
0.825739062,0.000234793,39,68799.52722220000,-100221.00000000000,3.00000000000,3.76922988892,3.33333396912,3.72727179527,3.75000000000,3.62500000000,3.61538410187,3.36363601685,3.69999980927,3.30769181252,3.50000000000,3.72727179527,4.00000000000,1.83333408833,1.66666591167,1.28571403027,1.33333396912,2.00000000000,4.84615421295,6.28571414948,6.06666612625,5.28571414948,5.28571414948,5.26666593552,4.99999475479,5.00000000000,4.63636398315,4.84614896774,4.88235187531,4.78946924210,5.42105388641,5.52631378174,3.72727179527,3.82353019714,3.63636398315,3.57142806053,3.25000000000,3.19047617912,3.58823585510,3.17646980286,3.31999993324,3.25000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,3.22222208977,3.11764812469,3.50000000000,3.14285802841,3.33333396912,3.36363816261,3.21052598953,3.19999980927,3.30769181252,3.35714197159,3.15384578705,3.46153807640,3.38461589813,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,3.26666593552,3.46153807640,3.23077011108,3.00000000000,3.98192315752,2.06169766393,2.02521743446
0.638655957,0.000249922,46,66429.52722220000,-96771.00000000000,3.00000000000,3.40000009537,3.44444394112,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,5.00000000000,5.12500000000,5.61538410187,5.26666593552,5.28571414948,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.57142806053,5.00000000000,3.00000000000,3.47619009018,3.09999990463,3.61538410187,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.20000028610,4.71428585052,3.00000000000,3.21052598953,3.54545402527,3.16666603088,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.36779418859,3.12975869508,3.13230800629
